,GameDuration,Winner,firstTower,firstInhibitor,firstDragon,firstRiftHerald,baronKillsdiff,riftHeraldKillsdiff,dragonKillsdiff,FIRE_DRAGONdiff,EARTH_DRAGONdiff,firstBaron,FIRE_DRAGONSoul,AIR_DRAGONdiff,ELDER_DRAGONdiff,WATER_DRAGONdiff,EARTH_DRAGONSoul,WATER_DRAGONSoul,AIR_DRAGONSoul
3411673088,1195,-1,-1.0,-1.0,-1.0,1.0,0,1,-2,-1.0,-1.0,,,,,,,,
3435528193,1516,1,1.0,-1.0,,,0,0,0,,,,,,,,,,
3447586821,1964,1,-1.0,-1.0,-1.0,,1,0,-3,-2.0,-1.0,1.0,-1.0,-1.0,1.0,,,,
3426877449,915,-1,-1.0,,-1.0,-1.0,0,-1,-2,,-1.0,,,,,-1.0,,,
3419144205,1176,-1,-1.0,-1.0,-1.0,1.0,0,0,-2,-1.0,,,,,,-1.0,,,
3428843533,758,-1,-1.0,,-1.0,,0,0,-2,,-1.0,,,,,-1.0,,,
3433824271,1154,1,1.0,1.0,1.0,,1,0,0,1.0,,1.0,,0.0,,-1.0,,,
3445751824,1954,1,1.0,1.0,1.0,-1.0,1,-1,5,1.0,2.0,1.0,,1.0,1.0,,1.0,,
3442737172,1716,1,-1.0,1.0,-1.0,-1.0,1,-1,-1,-1.0,-1.0,1.0,,1.0,,,,,
3397648407,1511,-1,-1.0,-1.0,1.0,1.0,-1,1,-1,-1.0,,-1.0,,1.0,,-1.0,,,
3422683163,1436,1,-1.0,,1.0,1.0,1,0,4,1.0,1.0,1.0,,,,2.0,,1.0,
3383099420,621,-1,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,,,,-1.0,,,,,
3442868254,1519,-1,-1.0,-1.0,-1.0,-1.0,-1,-2,-4,-2.0,,-1.0,-1.0,-1.0,,-1.0,,,
3421372448,942,-1,-1.0,,-1.0,-1.0,0,-1,-2,,,,,-1.0,,-1.0,,,
3441557537,1941,1,-1.0,1.0,1.0,1.0,-1,2,3,1.0,1.0,-1.0,,1.0,,,,,1.0
3431858209,1747,1,1.0,1.0,-1.0,1.0,1,1,2,1.0,2.0,1.0,,-1.0,,,,,
3433168932,2054,-1,-1.0,-1.0,-1.0,-1.0,-1,0,-3,-1.0,-1.0,-1.0,,-1.0,,,,,-1.0
3439329317,1763,-1,-1.0,,-1.0,1.0,1,2,-2,,1.0,1.0,,-2.0,,-1.0,,,
3445358630,1639,-1,1.0,1.0,,,0,0,0,,,,,,,,,,
3435135015,1420,-1,-1.0,,-1.0,-1.0,0,-2,-4,-1.0,-1.0,,,-2.0,,,,,-1.0
3446931493,1454,-1,-1.0,-1.0,1.0,,-1,0,-1,-1.0,-1.0,-1.0,,,,1.0,,,
3408527402,623,-1,-1.0,-1.0,,,0,0,0,,,,,,,,,,
3442999340,1065,-1,-1.0,-1.0,,,0,0,0,,,,,,,,,,
3411935277,1678,1,-1.0,,1.0,-1.0,0,0,3,,1.0,,,1.0,,1.0,,,
3438280750,1524,-1,-1.0,-1.0,-1.0,1.0,-1,1,0,-1.0,0.0,-1.0,,1.0,,,,,
3403677743,1592,1,1.0,1.0,-1.0,1.0,1,2,-1,,-1.0,1.0,,-1.0,,1.0,,,
3446931503,1354,-1,-1.0,1.0,-1.0,,-1,0,-3,-1.0,-1.0,-1.0,,-1.0,,,,,-1.0
3333816369,1789,-1,1.0,-1.0,1.0,-1.0,-1,-1,-2,1.0,-1.0,-1.0,,,,-2.0,,,
3442429427,1509,1,1.0,1.0,1.0,1.0,0,2,4,1.0,,,,1.0,,2.0,,1.0,
3433693240,1773,1,-1.0,1.0,-1.0,-1.0,1,-1,-2,-1.0,,1.0,,0.0,,-1.0,,,
3437625401,838,-1,-1.0,-1.0,-1.0,,0,0,-2,-1.0,-1.0,,,,,,,,
3445882941,1259,-1,1.0,-1.0,,,0,0,0,,,,,,,,,,
3396337725,1522,1,1.0,1.0,,,0,0,0,,,,,,,,,,
3416391746,1348,1,1.0,1.0,1.0,1.0,0,2,1,-1.0,1.0,,,1.0,,,,,
3323854914,1768,-1,1.0,-1.0,-1.0,1.0,-1,1,-4,-1.0,-1.0,-1.0,,-2.0,,,,,-1.0
3426091077,879,1,1.0,1.0,,,0,0,0,,,,,,,,,,
3398041670,1507,1,1.0,1.0,1.0,1.0,0,2,4,1.0,1.0,,,,,2.0,,1.0,
3447586889,1334,1,-1.0,1.0,,,0,0,0,,,,,,,,,,
3444572234,946,-1,-1.0,-1.0,-1.0,,-1,0,0,-1.0,1.0,-1.0,,,,,,,
3446276173,1076,-1,-1.0,-1.0,,,0,0,0,,,,,,,,,,
3378643023,1741,-1,1.0,-1.0,-1.0,1.0,-1,2,-3,,-1.0,-1.0,,-1.0,,-1.0,,,
3422814288,1192,1,1.0,1.0,1.0,1.0,0,2,2,,1.0,,,1.0,,,,,
3446145105,1447,1,-1.0,1.0,1.0,-1.0,1,0,4,1.0,,1.0,,2.0,,1.0,,,1.0
3384934484,1829,-1,1.0,-1.0,1.0,1.0,-2,0,-3,-1.0,-3.0,-1.0,,1.0,,,-1.0,,
3435790421,1184,-1,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,-1.0,,,-1.0,,1.0,,,
3435528278,719,1,-1.0,1.0,1.0,,0,0,-1,,-1.0,,,-1.0,,1.0,,,
3347578965,1543,1,1.0,1.0,-1.0,1.0,1,2,0,,,1.0,,1.0,,-1.0,,,
3422552155,647,1,1.0,,1.0,,0,0,2,1.0,,,,1.0,,,,,
3405119580,2256,-1,1.0,-1.0,-1.0,1.0,-2,1,2,,-1.0,-1.0,,-1.0,,4.0,,1.0,
3448766565,1774,-1,-1.0,-1.0,-1.0,-1.0,-1,0,-4,-2.0,,-1.0,-1.0,-1.0,,-1.0,,,
3431858280,1189,-1,1.0,-1.0,,,0,0,0,,,,,,,,,,
3412197481,2141,-1,-1.0,-1.0,-1.0,-1.0,0,-2,1,-1.0,,1.0,,-1.0,,3.0,,,
3439198314,1532,1,1.0,1.0,1.0,,0,0,3,1.0,,,,1.0,,1.0,,,
3441950828,2100,-1,1.0,1.0,1.0,1.0,-1,1,1,-1.0,1.0,-1.0,,1.0,,,,,
3444834413,962,1,1.0,,,,0,0,0,,,,,,,,,,
3443785838,1141,1,1.0,1.0,-1.0,,0,0,-1,-1.0,,,,,,,,,
3440377967,1349,-1,1.0,-1.0,1.0,1.0,0,0,-1,-1.0,-1.0,,,,,1.0,,,
3384672365,1097,-1,-1.0,-1.0,,,0,0,0,,,,,,,,,,
3440902257,1430,-1,-1.0,-1.0,,,0,0,0,,,,,,,,,,
3425435758,2183,1,-1.0,1.0,1.0,-1.0,1,-2,1,,1.0,1.0,,-1.0,,1.0,,,
3432513651,1417,-1,-1.0,-1.0,-1.0,-1.0,-1,-2,-3,-1.0,-1.0,-1.0,,-1.0,,,,,
3436707956,1734,1,1.0,1.0,-1.0,1.0,1,2,0,0.0,-1.0,1.0,,,,1.0,,,
3421503604,1118,-1,1.0,-1.0,-1.0,,-1,0,-2,,-1.0,-1.0,,-2.0,,1.0,,,
3445882990,1465,-1,-1.0,-1.0,-1.0,,-1,0,-3,,-1.0,-1.0,,-1.0,,-1.0,,-1.0,
3418620024,1598,1,1.0,1.0,1.0,,1,0,2,,-1.0,1.0,,,,2.0,,,
3386638457,1699,1,-1.0,1.0,-1.0,-1.0,2,0,2,2.0,-1.0,1.0,,1.0,,,,,
3421241469,1370,1,1.0,,1.0,1.0,0,1,3,1.0,,,,1.0,,1.0,,,
3437363330,951,1,1.0,,-1.0,1.0,0,1,0,1.0,-1.0,,,,,,,,
3334602883,1323,1,-1.0,-1.0,,,0,0,0,,,,,,,,,,
3404071043,2372,1,-1.0,-1.0,-1.0,-1.0,3,0,-2,-2.0,1.0,1.0,-1.0,,,-1.0,,,
3438018694,762,-1,-1.0,-1.0,,,0,0,0,,,,,,,,,,
3444703368,1093,-1,-1.0,-1.0,-1.0,,-1,0,-2,,-1.0,-1.0,,0.0,,-1.0,,,
3432120460,2318,1,-1.0,-1.0,1.0,1.0,0,2,-2,,-4.0,-1.0,,1.0,,1.0,-1.0,,
3434741902,731,-1,-1.0,-1.0,,,0,0,0,,,,,,,,,,
3442999440,1655,1,-1.0,1.0,-1.0,-1.0,-1,0,-2,0.0,-1.0,-1.0,,-1.0,,,,,
3435135120,1521,1,-1.0,1.0,1.0,-1.0,1,-1,3,1.0,1.0,1.0,,1.0,,,,,
3442868371,1509,-1,-1.0,-1.0,-1.0,-1.0,0,-2,-3,-1.0,,,,-1.0,,-1.0,,,
3416785043,1672,-1,-1.0,-1.0,-1.0,-1.0,-1,-2,-2,,-1.0,-1.0,,1.0,,-2.0,,,
3412197524,1273,1,1.0,1.0,,,0,0,0,,,,,,,,,,
3398959254,1586,-1,1.0,-1.0,1.0,1.0,-1,1,0,-1.0,,-1.0,,1.0,,0.0,,,
3406168214,1223,1,1.0,,-1.0,-1.0,0,-1,-1,-1.0,,,,-1.0,,1.0,,,
3439329431,1179,1,1.0,1.0,1.0,1.0,0,1,2,,1.0,,,,,1.0,,,
3442868372,1972,-1,-1.0,-1.0,1.0,-1.0,0,0,0,-1.0,1.0,-1.0,,0.0,,,,,
3428581530,2175,1,-1.0,1.0,-1.0,1.0,-2,1,3,3.0,1.0,-1.0,1.0,-1.0,,,,,
