,GameDuration,Winner,firstTower,firstInhibitor,firstDragon,firstRiftHerald,bluebaronKills,redbaronKills,blueriftHeraldKills,redriftHeraldKills,bluedragonKills,reddragonKills,blueElemDragNum,blueFIRE_DRAGON,blueEARTH_DRAGON,redElemDragNum,redFIRE_DRAGON,redEARTH_DRAGON,1FIRE_DRAGONteam,1FIRE_DRAGONtime,2EARTH_DRAGONteam,2EARTH_DRAGONtime,RIFTHERALD1team,RIFTHERALD1time,firstBaron,1ELDER_DRAGONteam,1ELDER_DRAGONtime,blueAIR_DRAGON,FIRE_DRAGONSoulteam,FIRE_DRAGONSoultime,redAIR_DRAGON,1AIR_DRAGONteam,1AIR_DRAGONtime,3FIRE_DRAGONteam,3FIRE_DRAGONtime,4FIRE_DRAGONteam,4FIRE_DRAGONtime,BARON_NASHOR1team,BARON_NASHOR1time,blueWATER_DRAGON,redWATER_DRAGON,1WATER_DRAGONteam,1WATER_DRAGONtime,2WATER_DRAGONteam,2WATER_DRAGONtime,RIFTHERALD2team,RIFTHERALD2time,3AIR_DRAGONteam,3AIR_DRAGONtime,4AIR_DRAGONteam,4AIR_DRAGONtime,EARTH_DRAGONSoulteam,EARTH_DRAGONSoultime,2AIR_DRAGONteam,2AIR_DRAGONtime,3EARTH_DRAGONteam,3EARTH_DRAGONtime,4EARTH_DRAGONteam,4EARTH_DRAGONtime,WATER_DRAGONSoulteam,WATER_DRAGONSoultime,3WATER_DRAGONteam,3WATER_DRAGONtime,4WATER_DRAGONteam,4WATER_DRAGONtime,AIR_DRAGONSoulteam,AIR_DRAGONSoultime,5AIR_DRAGONteam,5AIR_DRAGONtime,2FIRE_DRAGONteam,2FIRE_DRAGONtime,1EARTH_DRAGONteam,1EARTH_DRAGONtime,5EARTH_DRAGONteam,5EARTH_DRAGONtime,BARON_NASHOR2team,BARON_NASHOR2time,5WATER_DRAGONteam,5WATER_DRAGONtime,6WATER_DRAGONteam,6WATER_DRAGONtime,5FIRE_DRAGONteam,5FIRE_DRAGONtime,6FIRE_DRAGONteam,6FIRE_DRAGONtime,BARON_NASHOR3team,BARON_NASHOR3time,6EARTH_DRAGONteam,6EARTH_DRAGONtime,6AIR_DRAGONteam,6AIR_DRAGONtime,7FIRE_DRAGONteam,7FIRE_DRAGONtime,7EARTH_DRAGONteam,7EARTH_DRAGONtime,BARON_NASHOR4team,BARON_NASHOR4time,2ELDER_DRAGONteam,2ELDER_DRAGONtime,7AIR_DRAGONteam,7AIR_DRAGONtime,7WATER_DRAGONteam,7WATER_DRAGONtime,3ELDER_DRAGONteam,3ELDER_DRAGONtime,BARON_NASHOR5team,BARON_NASHOR5time,soul_team
3411673088,1195,red,red,red,red,blue,0,0,1,0,0,2,0,0,0,2,1,1,red,725786,red,1041620,blue,587732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3435528193,1516,blue,blue,red,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3447586821,1964,blue,red,red,red,,1,0,0,0,1,4,0,0,0,4,2,1,,,red,773724,,,blue,blue,1821105,0,red,1435899,1,red,331223,red,1100164,red,1435899,blue,1613363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red
3426877449,915,red,red,,red,red,0,0,0,1,0,2,0,,0,2,,1,,,red,775321,red,526733,,,,,,,,,,,,,,,,0,1,red,459939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3419144205,1176,red,red,red,red,blue,0,0,1,1,0,2,0,0,,2,1,,red,513743,,,blue,664893,,,,,,,,,,,,,,,,0,1,,,red,858090,red,1050989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3428843533,758,red,red,,red,,0,0,0,0,0,2,0,,0,2,,1,,,red,625329,,,,,,,,,,,,,,,,,,0,1,red,435876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3433824271,1154,blue,blue,blue,blue,,1,0,0,0,2,2,2,1,,2,0,,blue,560037,,,,,blue,,,1,,,1,,,,,,,blue,898758,0,1,,,red,750192,,,blue,959904,red,1125765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3445751824,1954,blue,blue,blue,blue,red,1,0,0,1,5,0,4,1,2,0,0,0,blue,392655,,,red,845123,blue,blue,1828729,1,,,0,,,,,,,blue,1669145,,,,,,,,,,,,,blue,1432099,blue,744890,blue,1076588,blue,1432099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blue
3442737172,1716,blue,red,blue,red,red,1,0,0,1,1,2,1,0,0,2,1,1,red,1002608,red,1343668,red,694483,blue,,,1,,,0,,,,,,,blue,1587595,,,,,,,,,blue,1672619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3397648407,1511,red,red,red,blue,blue,0,1,1,0,1,2,1,0,,2,1,,,,,,blue,700542,red,,,1,,,0,blue,507733,red,1201738,,,red,1370722,0,1,,,red,843985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3422683163,1436,blue,red,,blue,blue,1,0,1,1,4,0,4,1,1,0,0,0,blue,372475,blue,715160,blue,524703,blue,,,,,,,,,,,,,blue,1244694,2,0,,,,,red,959965,,,,,,,,,,,,,blue,1420755,blue,1082805,blue,1420755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blue
3383099420,621,red,red,red,red,red,0,0,0,1,0,1,0,,,1,,,,,,,red,514558,,,,0,,,1,red,360683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3442868254,1519,red,red,red,red,red,0,1,0,2,0,4,0,0,,4,2,,,,,,red,522780,red,,,0,red,1405087,1,,,red,1097160,red,1405087,red,1267589,0,1,red,392335,,,red,910508,,,,,,,red,754781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red
3421372448,942,red,red,,red,red,0,0,0,1,0,2,0,,,2,,,,,,,red,576952,,,,0,,,1,red,518754,,,,,,,0,1,,,red,839036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3441557537,1941,blue,red,blue,blue,blue,0,1,2,0,4,1,4,1,1,1,0,0,blue,426232,blue,772794,blue,573160,red,,,2,,,1,,,,,,,red,1642929,,,,,,,blue,998281,red,1104854,blue,1420065,,,,,,,,,,,,,,,blue,1744625,blue,1744625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blue
